,buyamt,buyavgrt,buyqty,closerate,costvalue,df_amount,df_qty,fmc_310118,isin,ltpl,ltpl_ntax,ltpl_tax,mktrate,mtmvalue,opamt,opqty,sellamt,sellavgrt,sellqty,share,stock,stpl,sttax
160,0.0,0.0,0,0.0,0.0,0,0,0.0,INE885H01011,0.0,0,0.0,0.0,0.0,124330.27,167,130474.63,781.28521,167,[539221] SPORTKI,0,6144.36,0
161,0.0,0.0,0,0.0,0.0,0,0,312.5,INE170V01027,0.0,0,0.0,0.0,0.0,-59371.98,-2232,0.0,0.0,0,[540642] SALASAR,-2232,0.0,0
162,0.0,0.0,0,0.0,0.0,0,0,0.0,INE526R01028,0.0,0,0.0,0.0,0.0,-33427.35,-675,0.0,0.0,0,[539017] STAR HO,-675,0.0,0
163,0.0,0.0,0,0.0,0.0,0,0,0.0,INE663A01033,0.0,0,0.0,0.0,0.0,-9020.37,-23,0.0,0.0,0,[500405] SUPREME,-23,0.0,0
164,272070.75,1265.445349,215,0.0,0.0,0,0,722.0,INE092A01019,0.0,0,0.0,0.0,0.0,0.0,0,236737.4,1101.104186,215,[500770] TATACHE,0,-35333.35,0
165,276852.0,230.71,1200,0.0,0.0,0,0,91.2,INE245A01021,0.0,0,0.0,0.0,0.0,0.0,0,444776.85,370.647375,1200,[500400] TATAPOW,0,167924.85,0
166,0.0,0.0,0,0.0,0.0,0,0,3150.0,INE467B01029,0.0,0,0.0,0.0,0.0,50008.65,15,49742.45,3316.163333,15,[532540] TCS,0,-266.2,0
167,133885.14,1424.31,94,0.0,0.0,0,0,712.0,INE494B01023,0.0,0,0.0,0.0,0.0,0.0,0,139119.06,1479.99,94,[532343] TVSMOTO,0,5233.92,0
168,152590.86,2724.836786,56,0.0,0.0,0,0,905.95,INE325A01013,0.0,0,0.0,0.0,0.0,0.0,0,143515.99,2562.785536,56,[522113] TATATIM,0,-9074.87,0
169,133456.05,1271.01,105,0.0,0.0,0,0,626.2,INE669C01036,0.0,0,0.0,0.0,0.0,0.0,0,137233.95,1306.99,105,[532755] TECHM,0,3777.9,0
170,0.0,0.0,0,0.0,0.0,0,0,193.9,INE419M01027,0.0,0,0.0,0.0,0.0,-30064.6,-280,0.0,0.0,0,[533553] TDPOWER,-280,0.0,0
171,0.0,0.0,0,0.0,0.0,0,0,0.0,INE413G01022,0.0,0,0.0,0.0,0.0,-28971.6,-840,0.0,0.0,0,TPL PLASTECH LIM,-840,0.0,0
172,0.0,0.0,0,0.0,0.0,0,0,137.0,INE692A01016,0.0,0,0.0,0.0,0.0,49178.47,647,45121.78,69.74,647,[532477] UNIONBA,0,-4056.69,0
173,0.0,0.0,0,0.0,0.0,0,0,777.0,INE628A01036,0.0,0,0.0,0.0,0.0,28748.45,40,27399.6,684.99,40,[512070] UPL,0,-1348.85,0
174,0.0,0.0,0,0.0,0.0,0,0,8.85,INE694A01020,0.0,0,0.0,0.0,0.0,86450.28,48477,57687.63,1.19,48477,[507878] UNITECH,0,-28762.65,0
175,0.0,0.0,0,0.0,0.0,0,0,596.0,INE238A01034,0.0,0,0.0,0.0,0.0,9575.06,11,10261.54,932.867273,11,[532215] AXISBAN,0,686.48,0
176,124344.0,51.81,2400,0.0,0.0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0,149706.25,62.377604,2400,,0,25362.25,0
177,269023.61,1978.114779,136,0.0,0.0,0,0,625.0,INE151A01013,0.0,0,0.0,0.0,0.0,0.0,0,259537.44,1908.363529,136,[500483] TATACOM,0,-9486.17,0
178,0.0,0.0,0,0.0,0.0,0,0,1542.0,INE665J01013,0.0,0,0.0,0.0,0.0,0.0,0,45057.65,1802.306,25,[534976] VMART,-25,0.0,0
179,0.0,0.0,0,0.0,0.0,0,0,396.0,INE270I01022,0.0,0,0.0,0.0,0.0,-31931.84,-116,0.0,0.0,0,[516072] VISHNU,-116,0.0,0
180,53375.25,2135.01,25,2135.01,53375.25,0,0,1542.1,INE665J01013,0.0,0,0.0,0.0,-106750.5,0.0,0,0.0,0.0,0,V-MART RETAIL LI,25,0.0,0
181,56551.06,1570.862778,36,0.0,0.0,0,0,698.0,INE200M01013,0.0,0,0.0,0.0,0.0,0.0,0,59137.28,821.351111,72,[540180] VBL,-36,-27012.62,0
182,0.0,0.0,0,0.0,0.0,0,0,795.0,INE565V01010,0.0,0,0.0,0.0,0.0,119539.74,174,80394.51,462.037414,174,[540145] VALIANT,0,-39145.23,0
183,120531.22,399.11,302,0.0,0.0,0,0,308.95,INE075A01022,0.0,0,0.0,0.0,0.0,51201.28,128,182432.6,424.26186,430,[507685] WIPRO,0,10700.1,0
184,0.0,0.0,0,0.0,0.0,0,0,0.0,INE758T01015,0.0,0,0.0,0.0,0.0,95698.04,1719,87823.71,51.09,1719,[543320] ZOMATO,0,-7874.33,0
185,218794.9,683.734063,320,0.0,0.0,0,0,429.85,INE010B01027,0.0,0,0.0,0.0,0.0,78247.61,161,308974.94,642.359543,481,[532321] ZYDUSLI,0,11932.43,0
