,trading_symbol,exchange,exchange_token
86265,CHEMPLASTS,NSE,5449
51036,CHENNPETRO,NSE,2049
19741,CHEVIOT,NSE,9879
21510,CHOICEIN,NSE,8866
49398,CHOLAFIN,NSE,685
81200,CHOLAHLDNG,NSE,21740
57613,CIEINDIA,NSE,14937
4808,CIGNITITEC,NSE,5142
48335,CINEVISTA,NSE,8024
17567,CIPLA,NSE,694
25013,CLEAN,NSE,5049
68958,CLEDUCATE,NSE,20223
26342,CLSEL,NSE,3482
37364,CMSINFO,NSE,7603
76793,COALINDIA,NSE,20374
51751,COASTCORP,NSE,6006
61426,COCHINSHIP,NSE,21508
8520,COFORGE,NSE,11543
76687,COLPAL,NSE,15141
73412,COMMOIETF,NSE,13198
82910,COMPUSOFT,NSE,31138
37524,CONCOR,NSE,4749
72297,CONCORDBIO,NSE,18060
78025,CONFIPET,NSE,10238
24019,CONS,NSE,10512
37519,CONSOFINVT,NSE,11731
24914,CONSUMBEES,NSE,2435
60741,CONSUMER,NSE,28969
91512,CONSUMIETF,NSE,6446
60501,CONTROLPR,NSE,17477
73641,CORALFINAC,NSE,4007
81725,CORDSCABLE,NSE,15271
36315,COROMANDEL,NSE,739
74475,COSMOFIRST,NSE,742
75038,COUNCODOS,NSE,16986
64861,CPSEETF,NSE,2328
89190,CRAFTSMAN,NSE,2854
67831,CREATIVE,NSE,11155
71258,CREATIVEYE,NSE,9384
56353,CREDITACC,NSE,4421
71089,CREST,NSE,13900
41113,CRISIL,NSE,757
82964,CROMPTON,NSE,17094
67055,CROWN,NSE,8083
84812,CSBBANK,NSE,14966
59702,CSLFINANCE,NSE,10350
84031,CTE,NSE,14218
48572,CUB,NSE,5701
27435,CUMMINSIND,NSE,1901
83592,CUPID,NSE,18520
83246,CYBERTECH,NSE,6051
37082,CYIENT,NSE,5748
34091,CYIENTDLM,NSE,17187
90457,DABUR,NSE,772
3678,DALBHARAT,NSE,8075
11527,DALMIASUG,NSE,781
78203,DAMCAPITAL,NSE,28662
75983,DAMODARIND,NSE,17541
24621,DANGEE,NSE,1110
59904,DATAMATICS,NSE,11423
76068,DATAPATTNS,NSE,7358
44724,DAVANGERE,NSE,21794
54600,DBCORP,NSE,17881
37539,DBEIL,NSE,25892
77417,DBL,NSE,18086
59351,DBREALTY,NSE,18124
18995,DBSTOCKBRO,NSE,31107
66531,DCAL,NSE,21704
50092,DCBBANK,NSE,13725
68381,DCI,NSE,11566
20680,DCM,NSE,805
61886,DCMFINSERV,NSE,4775
49401,DCMNVL,NSE,11039
89902,DCMSHRIRAM,NSE,811
43404,DCMSRIND,NSE,7325
6801,DCW,NSE,817
70777,DCXINDIA,NSE,11895
77291,DDEVPLSTIK,NSE,29098
15622,DECCANCE,NSE,14838
37928,DEEDEV,NSE,24154
56438,DEEPAKFERT,NSE,827
70825,DEEPAKNTR,NSE,19943
59967,DEEPINDS,NSE,3292
71034,DELHIVERY,NSE,9599
53872,DELTACORP,NSE,15044
47230,DEN,NSE,17722
69556,DENORA,NSE,4279
9479,DENTA,NSE,29256
71382,DEVIT,NSE,8146
22645,DEVYANI,NSE,5373
61452,DHAMPURSUG,NSE,857
58148,DHANI,NSE,15384
25136,DHANUKA,NSE,24409
88836,DHARMAJ,NSE,13001
50596,DHUNINV,NSE,22233
41314,DIAMINESQ,NSE,18644
82559,DIAMONDYD,NSE,21840
36724,DICIND,NSE,703
15129,DIGIDRIVE,NSE,21247
40074,DIGISPICE,NSE,16683
66228,DISHTV,NSE,14537
82729,DIVGIITTS,NSE,14479
19503,DIVISLAB,NSE,10940
23337,DIVOPPBEES,NSE,2636
44857,DIXON,NSE,21690
88019,DLF,NSE,14732
77324,DLINKINDIA,NSE,17851
15605,DMART,NSE,19913
79875,DNAMEDIA,NSE,641
51198,DODLA,NSE,4822
88823,DOLATALGO,NSE,12124
70231,DOLLAR,NSE,20560
16565,DOMS,NSE,20551
22545,DONEAR,NSE,13839
15701,DPABHUSHAN,NSE,936
26159,DPSCLTD,NSE,15419
79021,DPWIRES,NSE,16900
53094,DRCSYSTEMS,NSE,2645
50665,DREAMFOLKS,NSE,10859
23966,DREDGECORP,NSE,11271
1447,DRREDDY,NSE,881
16540,DSSL,NSE,25690
74359,DTIL,NSE,6227
88991,DUCON,NSE,28952
73204,DVL,NSE,15214
45191,DWARKESH,NSE,11667
53710,DYCL,NSE,10417
61403,DYNAMATECH,NSE,4525
16573,DYNPRO,NSE,21314
80037,E2E,NSE,8937
69573,EASEMYTRIP,NSE,2792
45811,EBANKNIFTY,NSE,25258
40786,EBBETF0425,NSE,22243
40224,EBBETF0430,NSE,16253
40732,EBBETF0431,NSE,22239
47018,EBBETF0433,NSE,13139
46197,ECAPINSURE,NSE,29019
88586,ECLERX,NSE,15179
19691,ECOSMOBLTY,NSE,25060
77290,EDELWEISS,NSE,15119
45219,EGOLD,NSE,19933
85944,EICHERMOT,NSE,910
18339,EIDPARRY,NSE,916
156,EIEL,NSE,27213
14235,EIFFL,NSE,6040
35595,EIHAHOTELS,NSE,15399
64935,EIHOTEL,NSE,919
87838,EIMCOELECO,NSE,4040
76372,EKC,NSE,13091
91627,ELDEHSG,NSE,8953
84568,ELECON,NSE,13643
51348,ELECTCAST,NSE,928
32662,ELGIEQUIP,NSE,937
74540,ELIN,NSE,13423
63403,EMAMILTD,NSE,13517
72884,EMAMIPAP,NSE,10074
45140,EMBDL,NSE,14450
20197,EMCURE,NSE,24398
27376,EMIL,NSE,11530
5768,EMMBI,NSE,18142
40197,EMSLIMITED,NSE,18593
82219,EMUDHRA,NSE,9756
45834,EMULTIMQ,NSE,25996
1072,ENDURANCE,NSE,18822
21522,ENGINERSIN,NSE,4907
37601,ENIL,NSE,13192
47087,ENTERO,NSE,22717
15291,EPACK,NSE,22463
5183,EPIGRAL,NSE,5382
38994,EPL,NSE,981
31385,EQUAL50ADD,NSE,6606
65723,EQUITASBNK,NSE,913
59760,ERIS,NSE,21154
77761,ESABINDIA,NSE,955
53726,ESAFSFB,NSE,19878
91244,ESCORTS,NSE,958
64253,ESG,NSE,1200
45281,ESILVER,NSE,20257
44209,ESSENTIA,NSE,30323
2465,ESTER,NSE,24265
34195,ETHOSLTD,NSE,9750
12320,EUREKAFORB,NSE,25162
69004,EVEREADY,NSE,11782
61894,EVINDIA,NSE,24461
