,buyamt,buyavgrt,buyqty,closerate,costvalue,df_amount,df_qty,fmc_310118,isin,ltpl,ltpl_ntax,ltpl_tax,mktrate,mtmvalue,opamt,opqty,sellamt,sellavgrt,sellqty,share,stock,stpl,sttax
52,0.0,0.0,0,813.75,292136.64,0.0,0,0.0,INE542W01025,0.0,0,0.0,382.8,-309422.88,292136.64,359,0.0,0.0,0,[542323] KPIGREEN,359,0.0,0
53,260514.8,383.11,680,383.11,260514.8,0.0,0,0.0,INE127T01021,0.0,0,0.0,370.25,-17489.6,0.0,0,0.0,0.0,0,[539686] K.P. ENE,680,0.0,0
54,1036570.6,809.820781,1280,0.0,0.0,0.0,0,0.0,INE552U01010,0.0,0,0.0,0.0,0.0,0.0,0,1032346.9,806.521016,1280,[539997] KWALITY,0,-4223.7,0
55,304192.0,675.982222,450,0.0,0.0,0.0,0,540.1,INE115A01026,0.0,0,0.0,0.0,0.0,0.0,0,283613.4,630.252,450,[500253] LICHSGFI,0,-20578.6,0
56,4000.04,1000.01,4,0.0,0.0,0.0,0,1000.01,INF732E01037,0.0,0,0.0,0.0,0.0,0.0,0,3999.96,999.99,4,[590096] LIQUIDBE,0,-0.08,0
57,646873.38,1625.31,398,0.0,0.0,0.0,0,901.7,INE326A01037,0.0,0,0.0,0.0,0.0,0.0,0,626828.07,1574.944899,398,[500257] LUPIN,0,-20045.31,0
58,595856.03,5785.01,103,0.0,0.0,0.0,0,1289.0,INE010V01017,0.0,0,0.0,0.0,0.0,0.0,0,587165.77,5700.638544,103,[540115] LTTS,0,-8690.26,0
59,572072.0499999999,470.841193,1215,0.0,0.0,0.0,0,520.05,INE947Q01028,0.0,0,0.0,0.0,0.0,0.0,0,535894.65,441.065556,1215,[540222] LAURUSLA,0,-36177.4,0
60,316059.44,586.38115,539,0.0,0.0,0.0,0,315.35,INE196A01026,0.0,0,0.0,0.0,0.0,154011.85,310,506088.21,596.099187,849,[531642] MARICO,0,36016.92,0
61,578770.8,12861.573333,45,0.0,0.0,0.0,0,9585.0,INE585B01010,0.0,0,0.0,0.0,0.0,0.0,0,560708.9,12460.197778,45,[532500] MARUTI,0,-18061.9,0
62,260593.74,207.81,1254,207.81,260593.74,0.0,0,114.85,INE522D01027,0.0,0,0.0,211.2,8502.12,0.0,0,0.0,0.0,0,[531213] MANAPPUR,1254,0.0,0
63,6685299.459999997,132.047473,50628,138.13,3049927.57,-1374.61,1922,74.35,INE558B01017,0.0,0,0.0,145.8,338672.86,0.0,0,4512533.66,158.068294,28548,[530011] MANGCHEM,22080,877161.77,0
64,636687.0,1414.86,450,0.0,0.0,0.0,0,435.5,INE742F01042,0.0,0,0.0,0.0,0.0,0.0,0,551393.7,1225.319333,450,[532921] ADANIPOR,0,-85293.3,0
65,1484199.01,4850.323562,306,0.0,0.0,0.0,0,0.0,INE249Z01020,0.0,0,0.0,0.0,0.0,0.0,0,1377397.38,2250.649314,612,[543237] MAZDOCK,-306,-795433.72,0
66,575789.24,391.96,1469,0.0,0.0,0.0,0,170.95,INE733E01010,0.0,0,0.0,0.0,0.0,0.0,0,610216.16,415.395616,1469,[532555] NTPC,0,34426.92,0
67,319281.8099999999,255.221271,1251,0.0,0.0,0.0,0,144.6,INE584A01023,0.0,0,0.0,0.0,0.0,0.0,0,262591.84,209.905548,1251,[526371] NMDC,0,-56689.97,0
68,771815.0800000008,161.941897,4766,0.0,0.0,0.0,0,148.0,INE060A01024,0.0,0,0.0,0.0,0.0,0.0,0,775299.37,162.672969,4766,[508989] NAVNETED,0,3484.29,0
69,1436047.0,875.638415,1640,0.0,0.0,0.0,0,161.85,INE725A01030,0.0,0,0.0,0.0,0.0,0.0,0,1368089.85,417.100564,3280,[513023] NAVA,-1640,-751574.75,0
70,1588713.78,282.538463,5623,0.0,0.0,0.0,0,204.6,INE213A01029,0.0,0,0.0,0.0,0.0,0.0,0,1782581.37,317.016071,5623,[500312] ONGC,0,193867.59,0
71,989802.99,98.01,10099,98.01,989802.99,0.0,0,175.2,INE160A01022,0.0,0,0.0,0.0,-1979605.98,0.0,0,0.0,0.0,0,[532461] PNB,10099,0.0,0
72,788380.9100000001,3488.411106,226,0.0,0.0,0.0,0,440.9,INE863B01029,0.0,0,0.0,0.0,0.0,0.0,0,832221.7,736.479381,1130,[526247] PREMEXPL,-904,-621710.92,0
73,2293770.99,473.52828,4844,476.71,1143627.29,0.0,0,118.5,INE134E01011,0.0,0,0.0,401.9,-358938.38,0.0,0,1204750.3,492.740409,2445,[532810] PFC,2399,54606.6,0
74,494267.4,310.86,1590,0.0,0.0,0.0,0,195.3,INE752E01010,0.0,0,0.0,0.0,0.0,409275.8,1930,1107746.5,314.70071,3520,[532898] POWERGRI,0,204203.3,0
75,706944.2500000003,150.41367,4700,157.85,1063439.62,0.0,0,0.0,INE0MIS01010,-37966.57,0,-37966.57,140.95,-227718.94,904676.6,5170,525008.29,167.573664,3133,[543969] PYRAMID,6737,14793.63,0
76,468881.6,2930.51,160,0.0,0.0,0.0,0,964.5,INE002A01018,0.0,0,0.0,0.0,0.0,0.0,0,476854.4,2980.34,160,[500325] RELIANCE,0,7972.8,0
77,2463016.18,470.220729,5238,413.78,1083680.94,0.0,0,157.55,INE020B01018,0.0,0,0.0,421.55,40717.02,0.0,0,1020181.81,389.531046,2619,[532955] RECLTD,2619,-359153.43,0
78,3031251.37,176.543469,17170,0.0,0.0,0.0,0,0.0,INE05CZ01011,0.0,0,0.0,0.0,0.0,0.0,0,3858953.68,224.749778,17170,[543978] RATNAVEE,0,827702.31,0
79,279328.7,152.638634,1830,0.0,0.0,0.0,0,91.35,INE114A01011,0.0,0,0.0,0.0,0.0,0.0,0,275671.2,150.64,1830,[500113] SAIL,0,-3657.5,0
80,1212511.02,406.61,2982,406.61,1212511.02,0.0,0,346.45,INE205A01025,0.0,0,0.0,0.0,-2425022.04,0.0,0,0.0,0.0,0,[500295] VEDL,2982,0.0,0
81,0.0,0.0,0,0.0,0.0,0.0,0,1827.95,INE647A01010,0.0,0,0.0,0.0,0.0,271387.9,105,269452.65,2566.215714,105,[503806] SRF,0,-1935.25,0
82,149624.34,859.91,174,0.0,0.0,0.0,0,785.0,INE939A01011,0.0,0,0.0,0.0,0.0,151178.19,184,462892.62,1292.996145,358,[532531] STAR,0,162090.09,0
