accd,accddescr,amtcr,amtdr,branchid,branchname,cheqdt,cheqno,co,idn,narr,p_r,runbal,subcode,subdescr,tt,type,vrdt,vrno,datefrom,dateto,accyear
62,CLIENTS,0.0,56536.04,HO,Branch [HO],1899-12-31T18:30:00Z,,02,93513,Obligation For: 2223057W [Equities] Trade Date 21/06/22,,901010.22,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-22T18:30:00Z,V223057,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,7.26,HO,Branch [HO],1899-12-31T18:30:00Z,,01,174089,Obligation For: 2022057X [NSE] Trade Date 22/06/22,,901002.96,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-22T18:30:00Z,V022057,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,108702.25,HO,Branch [HO],1899-12-31T18:30:00Z,,02,102411,Obligation For: 2223058W [Equities] Trade Date 22/06/22,,792300.71,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-23T18:30:00Z,V223058,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,89814.05,HO,Branch [HO],1899-12-31T18:30:00Z,,02,94931,Obligation For: 2223059W [Equities] Trade Date 23/06/22,,702486.66,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-26T18:30:00Z,V223059,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,62325.39,HO,Branch [HO],1899-12-31T18:30:00Z,,02,97774,Obligation For: 2223060W [Equities] Trade Date 24/06/22,,640161.27,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-27T18:30:00Z,V223060,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,29419.65,HO,Branch [HO],1899-12-31T18:30:00Z,,02,101924,Obligation For: 2223061W [Equities] Trade Date 27/06/22,,610741.62,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-28T18:30:00Z,V223061,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,93396.85,HO,Branch [HO],1899-12-31T18:30:00Z,,02,102179,Obligation For: 2223062W [Equities] Trade Date 28/06/22,,517344.77,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-29T18:30:00Z,V223062,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,65619.09,HO,Branch [HO],1899-12-31T18:30:00Z,,02,106277,Obligation For: 2223064W [Equities] Trade Date 30/06/22,,451725.68,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-03T18:30:00Z,V223064,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,155939.24,HO,Branch [HO],1899-12-31T18:30:00Z,,02,106474,Obligation For: 2223066W [Equities] Trade Date 04/07/22,,295786.44,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-05T18:30:00Z,V223066,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,233779.92,HO,Branch [HO],1899-12-31T18:30:00Z,,02,106031,Obligation For: 2223067W [Equities] Trade Date 05/07/22,,62006.52,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-06T18:30:00Z,V223067,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,96272.23,HO,Branch [HO],1899-12-31T18:30:00Z,,02,107534,Obligation For: 2223068W [Equities] Trade Date 06/07/22,,-34265.71,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-07T18:30:00Z,V223068,01-04-2022,31-03-2023,2223
62,CLIENTS,34259.71,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,109555,"		Inter Segment Balance Transfer From NFO   To   BSE
		Of Client KEYNOTE FINANCIAL SERVICES LTD",,-6.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-07-07T18:30:00Z,IE00002,01-04-2022,31-03-2023,2223
62,CLIENTS,70222.91,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,109618,Obligation For: 2223069W [Equities] Trade Date 07/07/22,,70216.91,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-10T18:30:00Z,V223069,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,29829.45,HO,Branch [HO],1899-12-31T18:30:00Z,,02,108638,Obligation For: 2223070W [Equities] Trade Date 08/07/22,,40387.46,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-11T18:30:00Z,V223070,01-04-2022,31-03-2023,2223
62,CLIENTS,59113.45,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,110646,Obligation For: 2223071W [Equities] Trade Date 11/07/22,,99500.91,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-12T18:30:00Z,V223071,01-04-2022,31-03-2023,2223
62,CLIENTS,500000.0,0.0,HO,Branch [HO],2022-07-13T18:30:00Z,308273,02,1593,,R,599500.91,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-07-13T18:30:00Z,R/00012,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,14777.24,HO,Branch [HO],1899-12-31T18:30:00Z,,02,113372,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",,584723.67,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-07-13T18:30:00Z,IE00002,01-04-2022,31-03-2023,2223
62,CLIENTS,68922.32,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,112508,Obligation For: 2223072W [Equities] Trade Date 12/07/22,,653645.99,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-13T18:30:00Z,V223072,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,3.14,HO,Branch [HO],1899-12-31T18:30:00Z,,01,174167,Obligation For: 2022083X [NSE] Trade Date 14/07/22,,653642.85,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-14T18:30:00Z,V022083,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,77.23,HO,Branch [HO],1899-12-31T18:30:00Z,,01,174180,Obligation For: 2022084X [NSE] Trade Date 15/07/22,,653565.62,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-17T18:30:00Z,V022084,01-04-2022,31-03-2023,2223
62,CLIENTS,121750.78,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,114808,Obligation For: 2223075W [Equities] Trade Date 15/07/22,,775316.4,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-18T18:30:00Z,V223075,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,60420.47,HO,Branch [HO],1899-12-31T18:30:00Z,,02,115071,Obligation For: 2223076W [Equities] Trade Date 18/07/22,,714895.93,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-19T18:30:00Z,V223076,01-04-2022,31-03-2023,2223
62,CLIENTS,125000.0,0.0,HO,Branch [HO],2022-07-20T18:30:00Z,308274,02,1689,,R,839895.93,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-07-20T18:30:00Z,R/00015,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,120660.96,HO,Branch [HO],1899-12-31T18:30:00Z,,02,116214,Obligation For: 2223077W [Equities] Trade Date 19/07/22,,719234.97,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-20T18:30:00Z,V223077,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,47387.15,HO,Branch [HO],1899-12-31T18:30:00Z,,02,118111,Obligation For: 2223079W [Equities] Trade Date 21/07/22,,671847.82,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-24T18:30:00Z,V223079,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,61073.12,HO,Branch [HO],1899-12-31T18:30:00Z,,02,124171,Obligation For: 2223080W [Equities] Trade Date 22/07/22,,610774.7,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-25T18:30:00Z,V223080,01-04-2022,31-03-2023,2223
62,CLIENTS,165610.74,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,124965,Obligation For: 2223081W [Equities] Trade Date 25/07/22,,776385.44,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-26T18:30:00Z,V223081,01-04-2022,31-03-2023,2223
62,CLIENTS,34799.56,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,127619,Obligation For: 2223084W [Equities] Trade Date 28/07/22,,811185.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-31T18:30:00Z,V223084,01-04-2022,31-03-2023,2223
62,CLIENTS,233012.65,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,128889,Obligation For: 2223086W [Equities] Trade Date 01/08/22,,1044197.65,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-08-02T18:30:00Z,V223086,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,263378.56,HO,Branch [HO],1899-12-31T18:30:00Z,,02,129639,Obligation For: 2223087W [Equities] Trade Date 02/08/22,,780819.09,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-08-03T18:30:00Z,V223087,01-04-2022,31-03-2023,2223
